# site=https://statewidefloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=3
device,clicks,impressions,ctr,position
DESKTOP,58,19312,0.3,36.3
MOBILE,44,4683,0.94,17.2
TABLET,0,202,0,25.28
