# site=https://californiafloodinsurance.com/ start=2026-05-13 end=2026-08-11 rows=3
device,clicks,impressions,ctr,position
DESKTOP,491,91214,0.54,17.95
MOBILE,327,28123,1.16,12.99
TABLET,8,1114,0.72,9.9
