risk_state,policies,median,p25,p75,properties_quoted,bind_rate_pct
CA,1665,722,563,851,3144,53
WA,210,665,474,793,440,48
OR,104,749,567,880,220,47
AZ,97,547,464,774,203,48
TX,73,679,511,865,369,20
CT,57,817,606,1011,136,42
MA,53,649,478,850,157,34
OH,47,620,506,745,150,31
NY,46,685,467,1024,176,26
PA,45,534,353,785,139,32
NC,39,614,476,927,176,22
MI,39,366,359,464,124,31
FL,38,669,478,877,352,11
IL,37,456,362,720,116,32
GA,34,468,364,699,153,22
OK,33,448,350,660,94,35
