state,zone,policies,median
CA,A,273,691
CA,A (numbered),33,709
CA,AE,881,765
CA,AH,73,722
CA,AO,275,686
CA,X,123,568
OR,A,21,726
OR,AE,75,777
TX,A,10,582
TX,AE,29,816
TX,X,29,673
WA,A,31,598
WA,A (numbered),17,644
WA,AE,127,687
WA,AO,18,616
WA,X,12,673
CT,AE,43,855
MA,AE,34,650
MA,X,10,605
AZ,A,15,516
AZ,AE,61,632
AZ,AO,11,464
