# site=sc-domain:californiafloodinsurance.com start=2026-05-13 end=2026-08-11 rows=9
date,clicks,impressions,ctr,position
2026-08-03,24,2323,1.03,12.28
2026-08-04,28,2740,1.02,15.51
2026-08-05,19,2487,0.76,15.58
2026-08-06,23,2424,0.95,14.71
2026-08-07,27,2234,1.21,12.07
2026-08-08,14,2490,0.56,14.44
2026-08-09,14,2881,0.49,16.19
2026-08-10,31,3380,0.92,13.66
2026-08-11,26,3066,0.85,12.42
